locale,locale_name,storefront,primary,name,subtitle,keywords,description,category,in_app_purchases
en-GB,English (U.K.),gb,,Charady: Pass & Guess,"Tilt, guess, laugh together","charades,heads up,headbands,guess,word,party,friends,family,act it out,offline,decks,tilt,pass phone","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,Charady Weekly - £4.99 | Charady Yearly - £19.99 | Charady Lifetime - £24.99
ar-SA,Arabic,sa,,Charady: لعبة التخمين,خمّن مع الأصدقاء,"charades,heads up,تخمين,حفلة,كلمات,أصدقاء,عائلة,offline,party",مثّل. خمّن الكلمة. اضحكوا معاً.\n\nCharady هي لعبة charades النهائية على الجبهة للأصدقاء والعائلة. لاعب يمسك الهاتف على جبهته، والباقون يعطون تلميحات، وتميل للصحيح أو التخطي. قواعد بسيطة. الكثير من الباقات. طاقة حفلة فوراً.\n\nطريقة اللعب\n1. اختر باقة تناسب الأجواء\n2. أمسك الهاتف على جبهتك حتى يرى الأصدقاء الكلمة\n3. الأصدقاء يمثّلون أو يصفون — دون قول الكلمة\n4. أمل لأسفل إن صح، ولأعلى للتخطي\n5. اهزم الساعة ومرّر الهاتف\n\nلماذا CHARADY\n• Charades كلاسيكية للمجموعات\n• عشرات الباقات الموضوعية\n• أنشئ باقاتك الخاصة\n• العب دون اتصال\n• جولات سريعة للحفلات والرحلات\n• حزم كلمات مناسبة للعائلة\n\nمثالية لليلة ألعاب والمزيد من الضحك. هاتف واحد. المجموعة كلها. فوضى charades ممتعة.\n\nالدعم: teamo.touch@gmail.com\n\nسياسة الخصوصية:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nشروط الاستخدام:\nhttps://teamo-couple.web.app/charady-terms.html,ألعاب كلمات,Charady Weekly - ١٩٫٩٩ ر.س.‏ | Charady Yearly - ٩٩٫٩٩ ر.س.‏ | Charady Lifetime - ١٢٩٫٩٩ ر.س.‏
bn-BD,Bangla,bd,,Charady: Friends Guess Night,Forehead charades with friends,"charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,Charady Weekly - $4.99 | Charady Yearly - $24.99 | Charady Lifetime - $29.99
ca,Catalan,es,,Charady: Festa d'endevinalles,Endevina amb amics,"charades,heads up,mímica,festa,paraules,amics,família,endevina,offline,party","Fes mímica. Endevina la paraula. Rieu junts.\n\nCharady és el joc definitiu de mímica al front per a amics i família. Un jugador aguanta el telèfon al front, la resta dóna pistes i tu inclines per encertar o passar. Regles senzilles. Moltíssimes baralles. Energia de festa a l'instant.\n\nCOM JUGAR\n1. Tria una baralla que encaixi\n2. Posat el telèfon al front perquè vegin la paraula\n3. Els amics fan mímica o descriuen — sense dir la paraula\n4. Inclina avall si és correcte, amunt per passar\n5. Guanya el rellotge i passa el telèfon\n\nPER QUÈ CHARADY\n• Mímica clàssica per a grups\n• Desenes de baralles temàtiques\n• Crea baralles personalitzades\n• Juga sense connexió\n• Rondes ràpides per a festes i viatges\n• Packs familiars\n\nPerfecte per a nits de jocs i més rialles. Un telèfon. Tot el grup. Caos de charades.\n\nSupport: teamo.touch@gmail.com\n\nPolítica de privacitat:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nCondicions d'ús:\nhttps://teamo-couple.web.app/charady-terms.html",Paraules,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
zh-Hans,Chinese (Simplified),cn,,Charady: 默剧猜词派对,和朋友一起猜词,"charades,heads up,默剧,猜词,派对,朋友,家庭,额头,离线",演出来。猜单词。一起笑。\n\nCharady 是适合朋友和家人的终极额头默剧猜词派对游戏。一人把手机贴在额头上，其他人给提示，你倾斜表示正确或跳过。规则简单。大量卡组。立刻进入派对氛围。\n\n怎么玩\n1. 选择符合气氛的卡组\n2. 把手机贴在额头上，让朋友看到单词\n3. 朋友表演或描述——不要说出单词\n4. 正确向下倾斜，跳过向上倾斜\n5. 战胜计时器，把手机传给下一位\n\n为什么选 CHARADY\n• 适合团体的经典额头默剧\n• 数十个主题卡组——电影、动物、食物等\n• 创建自定义卡组\n• 可离线游玩\n• 适合派对和旅行的快速回合\n• 适合家庭的词库\n\n非常适合游戏之夜和更多笑声。一部手机。整桌朋友。纯粹的默剧狂欢。\n\n支持: teamo.touch@gmail.com\n\n隐私政策:\nhttps://teamo-couple.web.app/charady-privacy.html\n\n使用条款:\nhttps://teamo-couple.web.app/charady-terms.html,文字游戏,Charady Weekly - ¥28.00 | Charady Yearly - ¥128.00 | Charady Lifetime - ¥168.00
zh-Hant,Chinese (Traditional),tw,,Charady: 比手畫腳派對,和朋友一起猜詞,"charades,heads up,比手畫腳,猜詞,派對,朋友,家庭,額頭,離線",演出來。猜單詞。一起笑。\n\nCharady 是適合朋友和家人的終極額頭比手畫腳派對遊戲。一人把手機貼在額頭上，其他人給提示，你傾斜表示正確或跳過。規則簡單。大量卡組。立刻進入派對氛圍。\n\n怎麼玩\n1. 選擇符合氣氛的卡組\n2. 把手機貼在額頭上，讓朋友看到單詞\n3. 朋友表演或描述——不要說出單詞\n4. 正確向下傾斜，跳過向上傾斜\n5. 戰勝計時器，把手機傳給下一位\n\n為什麼選 CHARADY\n• 適合團體的經典額頭比手畫腳\n• 數十個主題卡組——電影、動物、食物等\n• 建立自訂卡組\n• 可離線遊玩\n• 適合派對和旅行的快速回合\n• 適合家庭的詞庫\n\n非常適合遊戲之夜和更多笑聲。一部手機。整桌朋友。純粹的比手畫腳狂歡。\n\n支援: teamo.touch@gmail.com\n\n隱私權政策:\nhttps://teamo-couple.web.app/charady-privacy.html\n\n使用條款:\nhttps://teamo-couple.web.app/charady-terms.html,文字,Charady Weekly - $150.00 | Charady Yearly - $690.00 | Charady Lifetime - $890.00
hr,Croatian,hr,,Charady: Zabava pogađanja,Pogađaj s prijateljima,"charades,heads up,pogađanje,zabava,riječi,prijatelji,obitelj,offline","Odigraj. Pogodi riječ. Smijte se zajedno.\n\nCharady je ultimativna čelna charades party igra za prijatelje i obitelj. Jedan igrač drži telefon na čelu, ostali daju nagovještaje, a ti naginješ za točno ili dalje. Jednostavna pravila. Puno špilova. Party energija odmah.\n\nKAKO IGRATI\n1. Odaberi špil koji odgovara raspoloženju\n2. Drži telefon na čelu da prijatelji vide riječ\n3. Prijatelji glume ili opisuju — bez izgovaranja riječi\n4. Nagni dolje za točno, gore za preskočiti\n5. Pobijedi sat i predaj telefon\n\nZAŠTO CHARADY\n• Klasične charades za grupe\n• Deseci tematskih špilova\n• Izradi vlastite špilove\n• Igraj offline\n• Brze runde za party i putovanja\n• Obiteljski paketi riječi\n\nSavršeno za večer igara i više smijeha. Jedan telefon. Cijela ekipa. Čisti charades kaos.\n\nSupport: teamo.touch@gmail.com\n\nPravila privatnosti:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nUvjeti korištenja:\nhttps://teamo-couple.web.app/charady-terms.html",Riječi,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
cs,Czech,cz,,Charady: Párty hádačka,Hádej se přáteli,"charades,heads up,hádání,párty,slova,přátelé,rodina,čelo,offline","Zahraj to. Hádej slovo. Smějte se spolu.\n\nCharady je ultimátní čelní charades párty hra pro přátele a rodinu. Jeden hráč drží telefon na čele, ostatní dávají nápovědy a ty naklápíš pro správně nebo dál. Jednoduchá pravidla. Spousta balíčků. Párty energie hned.\n\nJAK HRÁT\n1. Vyber balíček podle nálady\n2. Drž telefon na čele, ať přátelé vidí slovo\n3. Přátelé hrají nebo popisují — bez vyslovení slova\n4. Nakloň dolů při správně, nahoru pro přeskočení\n5. Poraz hodiny a předej telefon\n\nPROČ CHARADY\n• Klasické charades pro skupiny\n• Desítky tematických balíčků\n• Vytvoř vlastní balíčky\n• Hraj offline\n• Rychlá kola na párty a cesty\n• Rodinné balíčky slov\n\nPerfektní na herní večer a víc smíchu. Jeden telefon. Celá parta. Čistý charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nOchrana soukromí:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nPodmínky použití:\nhttps://teamo-couple.web.app/charady-terms.html",Slovní,"Charady Weekly - 129,00 Kč | Charady Yearly - 599,00 Kč | Charady Lifetime - 799,00 Kč"
da,Danish,dk,,Charady: Fest gæt-leg,Gæt ordet med venner,"charades,heads up,gæt,fest,ord,venner,familie,pande,offline,party","Spil det. Gæt ordet. Grin sammen.\n\nCharady er det ultimative pandespil med charades til venner og familie. Én spiller holder telefonen på panden, de andre giver hints, og du vipper for rigtigt eller videre. Simple regler. Masser af decks. Feststemning med det samme.\n\nSÅDAN SPILLER I\n1. Vælg et deck der matcher stemningen\n2. Hold telefonen på panden, så vennerne kan se ordet\n3. Vennerne spiller eller beskriver — uden at sige ordet\n4. Vip ned ved korrekt, op for at springe over\n5. Slå uret og giv telefonen videre\n\nHVORFOR CHARADY\n• Klassiske charades til grupper\n• Masser af tema-decks\n• Lav egne decks\n• Spil offline\n• Hurtige runder til fest og rejser\n• Familievenlige ordpakker\n\nPerfekt til spilleaften og flere grin. Én telefon. Hele gruppen. Ren charades-kaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivatlivspolitik:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nVilkår for brug:\nhttps://teamo-couple.web.app/charady-terms.html",Ord,"Charady Weekly - 39,00 kr | Charady Yearly - 199,00 kr | Charady Lifetime - 249,00 kr"
nl-NL,Dutch,nl,,Charady: Feest raadspel,Raad het woord met vrienden,"charades,heads up,raadspel,feest,woorden,vrienden,familie,voorhoofd,offline,party","Beeld het uit. Raad het woord. Lach samen.\n\nCharady is het ultieme voorhoofd-charades feestspel voor vrienden en familie. Eén speler houdt de telefoon tegen het voorhoofd, de rest geeft hints en jij kantelt voor goed of pas. Eenvoudige regels. Volop decks. Direct feestenergie.\n\nHOE SPEEL JE\n1. Kies een deck dat bij de sfeer past\n2. Houd de telefoon tegen je voorhoofd zodat vrienden het woord zien\n3. Vrienden beelden uit of beschrijven — zonder het woord te zeggen\n4. Kantel omlaag bij goed, omhoog om over te slaan\n5. Versla de tijd en geef de telefoon door\n\nWAAROM CHARADY\n• Klassieke charades voor groepen\n• Tientallen thema-decks — films, dieren, eten en meer\n• Maak eigen decks\n• Offline spelen\n• Snelle rondes voor feestjes en reizen\n• Gezinsvriendelijke woordpakketten\n\nPerfect voor een spelletjesavond en meer lachen. Eén telefoon. De hele groep. Pure charades-chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacybeleid:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nGebruiksvoorwaarden:\nhttps://teamo-couple.web.app/charady-terms.html",Woordspel,"Charady Weekly - € 5,99 | Charady Yearly - € 24,99 | Charady Lifetime - € 29,99"
